Name,Machines,Jobs,Lower bound,Upper bound,Gap,Time
Ins_V10_J100_T10_R60_B10_W1_S240_N0.txt,10,100,162.0,162.0,0.0,64.59542608261108
Ins_V10_J100_T10_R60_B10_W1_S241_N1.txt,10,100,172.0,132.0,0.23255813953488372,17.038010835647583
Ins_V10_J100_T10_R60_B10_W1_S242_N2.txt,10,100,257.0,126.0,0.5097276264591439,8.911960124969482
