File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V2_J200_T10_R60_B10_W2_S273_N3.txt,2,200,11,2,2462,2462,0.00,0.72
Ins_V2_J50_T10_R60_B10_W4_S91_N1.txt,2,50,13,4,1065,1065,0.00,0.11
Ins_V2_J150_T20_R60_B10_W4_S19_N9.txt,2,150,24,4,3797,3797,0.00,240.05
Ins_V2_J200_T10_R60_B10_W2_S272_N2.txt,2,200,11,2,2720,2720,0.00,1.67
Ins_V5_J50_T20_R60_B10_W2_S132_N2.txt,5,50,29,2,381,384,0.79,0.03
Ins_V2_J50_T10_R60_B10_W2_S91_N1.txt,2,50,13,2,645,645,0.00,0.04
Ins_V10_J200_T10_R60_B10_W1_S334_N4.txt,10,200,12,1,362,362,0.00,4.43
Ins_V2_J150_T30_R60_B10_W2_S21_N1.txt,2,150,41,2,4234,4234,0.00,0.42
Ins_V2_J50_T20_R60_B10_W1_S107_N7.txt,2,50,28,1,822,822,0.00,0.03
Ins_V2_J50_T20_R60_B10_W2_S103_N3.txt,2,50,27,2,1006,1006,0.00,0.04
Ins_V2_J200_T30_R60_B10_W2_S293_N3.txt,2,200,39,2,5635,5635,0.00,2.60
Ins_V5_J150_T30_R60_B10_W4_S56_N6.txt,5,150,41,4,2028,2028,0.00,190.94
Ins_V10_J150_T30_R60_B10_W4_S87_N7.txt,10,150,35,4,903,903,0.00,15.71
Ins_V10_J100_T20_R60_B10_W2_S252_N2.txt,10,100,28,2,383,384,0.26,1.74
Ins_V2_J150_T20_R60_B10_W2_S13_N3.txt,2,150,24,2,2980,2980,0.00,0.41
Ins_V2_J200_T20_R60_B10_W1_S283_N3.txt,2,200,23,1,3057,3057,0.00,0.57
Ins_V5_J200_T20_R60_B10_W1_S319_N9.txt,5,200,24,1,1224,1224,0.00,0.92
Ins_V5_J50_T30_R60_B10_W4_S141_N1.txt,5,50,35,4,570,570,0.00,0.19
Ins_V2_J200_T30_R60_B10_W1_S294_N4.txt,2,200,36,1,4401,4401,0.00,0.83
Ins_V5_J50_T20_R60_B10_W1_S136_N6.txt,5,50,27,1,299,299,0.00,0.04
Ins_V10_J150_T30_R60_B10_W1_S80_N0.txt,10,150,34,1,568,574,1.06,0.43
Ins_V2_J100_T30_R60_B10_W4_S208_N8.txt,2,100,40,4,3340,3340,0.00,0.76
Ins_V10_J50_T30_R60_B10_W4_S173_N3.txt,10,50,36,4,263,268,1.90,0.38
Ins_V10_J200_T30_R60_B10_W4_S350_N0.txt,10,200,38,4,1272,1272,0.00,240.88
Ins_V5_J50_T20_R60_B10_W2_S130_N0.txt,5,50,20,2,305,305,0.00,0.07
Ins_V10_J50_T10_R60_B10_W2_S155_N5.txt,10,50,13,2,81,93,14.81,0.06
Ins_V10_J150_T30_R60_B10_W1_S89_N9.txt,10,150,39,1,649,656,1.08,0.46
